degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
3,0.00030251219868659973,True,0.6666666666666666,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5176096557217069,0.3597072395808848,0.0
3,0.0002935994416475296,True,0.6666666666666666,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4738719567510593,0.2984154015932731,0.0
3,0.0002827029675245285,True,0.6666666666666666,project>errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.44240920866700983,0.25767857211441386,0.0
2,0.0002730628475546837,True,0.6666666666666666,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.40135938702018853,0.20875202597729375,0.0
2,0.00026663485914468765,True,0.6666666666666666,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.39657988436923897,0.20336650893964392,0.0
2,0.00025810860097408295,True,0.6666666666666666,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.45284678357247476,0.27088157522476697,0.0
3,0.00031012948602437973,True,0.6666666666666666,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4673636960450729,0.2897584646057265,0.0
3,0.00028810836374759674,True,0.6666666666666666,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5508874290386095,0.40997140887050526,0.0
3,0.0002865586429834366,True,0.6666666666666666,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4097389971730888,0.21835080950192629,0.0
2,0.0002725394442677498,True,0.6666666666666666,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.0,0.0,0.11218307234819312,0.017797936685548164,0.0
